Trade #,Type,Date and time,Price,Qty,Net PnL,Net PnL %,Favorable excursion USD,Adverse excursion USD,Cumulative PnL
82,Exit long,2025-10-22 13:30,3840.000000,1,-6.970000,-0.1812,35.960000,-81.970000,-99.150000
82,Entry long,2025-10-22 00:30,3846.970000,1,-6.970000,-0.1812,35.960000,-81.970000,-99.150000
81,Exit long,2025-10-20 23:45,3977.540000,1,32.180000,0.8156,56.600000,-25.060000,-92.180000
81,Entry long,2025-10-20 16:00,3945.360000,1,32.180000,0.8156,56.600000,-25.060000,-92.180000
80,Exit long,2025-10-20 00:00,3954.850000,1,135.160000,3.5385,210.310000,-9.690000,-124.360000
80,Entry long,2025-10-19 08:15,3819.690000,1,135.160000,3.5385,210.310000,-9.690000,-124.360000
79,Exit long,2025-10-17 05:45,3893.910000,1,-53.780000,-1.3623,18.600000,-125.190000,-259.520000
79,Entry long,2025-10-16 15:30,3947.690000,1,-53.780000,-1.3623,18.600000,-125.190000,-259.520000
78,Exit long,2025-10-16 08:15,3993.940000,1,-40.360000,-1.0004,69.280000,-109.300000,-205.740000
78,Entry long,2025-10-15 13:45,4034.300000,1,-40.360000,-1.0004,69.280000,-109.300000,-205.740000
77,Exit long,2025-10-14 01:00,4215.590000,1,145.650000,3.5787,223.090000,-35.820000,-165.380000
77,Entry long,2025-10-13 11:15,4069.940000,1,145.650000,3.5787,223.090000,-35.820000,-165.380000
76,Exit long,2025-10-12 13:45,3808.150000,1,44.240000,1.1754,102.150000,-123.910000,-311.030000
76,Entry long,2025-10-11 19:15,3763.910000,1,44.240000,1.1754,102.150000,-123.910000,-311.030000
75,Exit long,2025-10-11 14:15,3801.870000,1,-457.620000,-10.7435,6.280000,-859.490000,-355.270000
75,Entry long,2025-10-10 15:00,4259.490000,1,-457.620000,-10.7435,6.280000,-859.490000,-355.270000
74,Exit long,2025-10-09 13:45,4349.350000,1,-72.200000,-1.6329,37.280000,-104.960000,102.350000
74,Entry long,2025-10-09 02:30,4421.550000,1,-72.200000,-1.6329,37.280000,-104.960000,102.350000
73,Exit long,2025-10-08 13:30,4454.510000,1,-141.610000,-3.0811,8.530000,-187.430000,174.550000
73,Entry long,2025-10-07 14:45,4596.120000,1,-141.610000,-3.0811,8.530000,-187.430000,174.550000
72,Exit long,2025-09-26 06:45,3919.000000,1,-183.290000,-4.4680,34.710000,-280.290000,316.160000
72,Entry long,2025-09-25 01:15,4102.290000,1,-183.290000,-4.4680,34.710000,-280.290000,316.160000
71,Exit long,2025-09-24 13:45,4148.500000,1,48.710000,1.1881,97.270000,-29.790000,499.450000
71,Entry long,2025-09-24 04:00,4099.790000,1,48.710000,1.1881,97.270000,-29.790000,499.450000
70,Exit long,2025-09-22 15:00,4172.210000,1,-207.220000,-4.7317,0.000000,-378.550000,450.740000
70,Entry long,2025-09-22 00:30,4379.430000,1,-207.220000,-4.7317,0.000000,-378.550000,450.740000
69,Exit long,2025-09-19 14:30,4521.300000,1,5.970000,0.1322,26.670000,-10.100000,657.960000
69,Entry long,2025-09-19 09:45,4515.330000,1,5.970000,0.1322,26.670000,-10.100000,657.960000
68,Exit long,2025-09-18 06:00,4561.380000,1,134.720000,3.0434,215.940000,-22.580000,651.990000
68,Entry long,2025-09-17 17:45,4426.660000,1,134.720000,3.0434,215.940000,-22.580000,651.990000
67,Exit long,2025-09-17 04:15,4485.900000,1,50.360000,1.1354,115.950000,-14.530000,517.270000
67,Entry long,2025-09-16 13:45,4435.540000,1,50.360000,1.1354,115.950000,-14.530000,517.270000
66,Exit long,2025-09-16 04:15,4512.350000,1,-11.230000,-0.2483,16.560000,-60.580000,466.910000
66,Entry long,2025-09-15 08:45,4523.580000,1,-11.230000,-0.2483,16.560000,-60.580000,466.910000
65,Exit long,2025-09-14 23:30,4604.000000,1,22.770000,0.4970,53.770000,-6.230000,478.140000
65,Entry long,2025-09-14 14:30,4581.230000,1,22.770000,0.4970,53.770000,-6.230000,478.140000
64,Exit long,2025-09-14 04:15,4656.740000,1,28.700000,0.6201,63.260000,-25.040000,455.370000
64,Entry long,2025-09-13 16:00,4628.040000,1,28.700000,0.6201,63.260000,-25.040000,455.370000
63,Exit long,2025-09-07 06:45,4281.940000,1,59.430000,1.4075,81.490000,-2.510000,426.670000
63,Entry long,2025-09-06 16:15,4222.510000,1,59.430000,1.4075,81.490000,-2.510000,426.670000
62,Exit long,2025-09-04 13:45,4375.990000,1,-5.880000,-0.1342,50.130000,-28.510000,367.240000
62,Entry long,2025-09-04 05:00,4381.870000,1,-5.880000,-0.1342,50.130000,-28.510000,367.240000
61,Exit long,2025-09-01 11:00,4400.580000,1,17.530000,0.3999,106.950000,-26.440000,373.120000
61,Entry long,2025-08-31 23:30,4383.050000,1,17.530000,0.3999,106.950000,-26.440000,373.120000
60,Exit long,2025-08-30 12:30,4354.180000,1,67.450000,1.5735,127.720000,-31.760000,355.590000
60,Entry long,2025-08-30 01:45,4286.730000,1,67.450000,1.5735,127.720000,-31.760000,355.590000
59,Exit long,2025-08-29 13:30,4345.520000,1,-48.630000,-1.1067,62.090000,-77.950000,288.140000
59,Entry long,2025-08-29 07:00,4394.150000,1,-48.630000,-1.1067,62.090000,-77.950000,288.140000
58,Exit long,2025-08-28 14:00,4580.290000,1,77.600000,1.7234,130.430000,-37.690000,336.770000
58,Entry long,2025-08-27 22:00,4502.690000,1,77.600000,1.7234,130.430000,-37.690000,336.770000
57,Exit long,2025-08-25 16:45,4593.780000,1,-77.980000,-1.6692,102.240000,-153.760000,259.170000
57,Entry long,2025-08-25 00:30,4671.760000,1,-77.980000,-1.6692,102.240000,-153.760000,259.170000
56,Exit long,2025-08-21 23:15,4236.750000,1,9.240000,0.2186,45.660000,-25.510000,337.150000
56,Entry long,2025-08-21 15:15,4227.510000,1,9.240000,0.2186,45.660000,-25.510000,337.150000
55,Exit long,2025-08-21 01:00,4310.770000,1,191.560000,4.6504,256.920000,-14.880000,327.910000
55,Entry long,2025-08-20 14:00,4119.210000,1,191.560000,4.6504,256.920000,-14.880000,327.910000
54,Exit long,2025-08-20 12:15,4187.440000,1,-5.180000,-0.1236,47.380000,-132.620000,136.350000
54,Entry long,2025-08-19 14:30,4192.620000,1,-5.180000,-0.1236,47.380000,-132.620000,136.350000
